# Region type : patch outlet
# Faces         : 20
# Area          : 4.36243709e-07
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(p)	weightedAverage(U)	weightedAverage(T)
19100           	1.01325000e+05	(1.06097607e+00 1.69004937e-07 1.24892989e-12)	3.99982971e+02
19200           	1.01325000e+05	(1.06097663e+00 5.00973461e-08 1.24141507e-12)	3.99982971e+02
19300           	1.01325000e+05	(1.06097637e+00 -2.10332655e-08 1.24017115e-12)	3.99982971e+02
19400           	1.01325000e+05	(1.06097640e+00 2.07898204e-08 1.24412802e-12)	3.99982971e+02
19500           	1.01325000e+05	(1.06097684e+00 -6.97944355e-08 1.24873182e-12)	3.99982971e+02
19600           	1.01325000e+05	(1.06097655e+00 -2.79610511e-07 1.25009590e-12)	3.99982971e+02
19700           	1.01325000e+05	(1.06097504e+00 -3.16238231e-07 1.25367463e-12)	3.99982971e+02
19800           	1.01325000e+05	(1.06097380e+00 7.22650642e-08 1.26493445e-12)	3.99982971e+02
19900           	1.01325000e+05	(1.06097535e+00 4.42083512e-07 1.23245112e-12)	3.99982971e+02
20000           	1.01325000e+05	(1.06097730e+00 2.19798555e-08 1.24577547e-12)	3.99982971e+02
20100           	1.01325000e+05	(1.06097518e+00 -3.12380826e-07 1.24773412e-12)	3.99982971e+02
20200           	1.01325000e+05	(1.06097276e+00 4.56408907e-07 1.23747125e-12)	3.99982971e+02
20300           	1.01325000e+05	(1.06097643e+00 1.52864540e-06 1.26769808e-12)	3.99982971e+02
20400           	1.01325000e+05	(1.06098508e+00 8.34881915e-07 1.23813729e-12)	3.99982971e+02
20500           	1.01325000e+05	(1.06098524e+00 -1.86684315e-06 1.25596161e-12)	3.99982971e+02
20600           	1.01325000e+05	(1.06096980e+00 -2.04598216e-06 1.23073676e-12)	3.99982971e+02
20700           	1.01325000e+05	(1.06096554e+00 2.03765914e-06 1.25025896e-12)	3.99982971e+02
20800           	1.01325000e+05	(1.06098722e+00 2.34340621e-06 1.24228182e-12)	3.99982971e+02
20900           	1.01325000e+05	(1.06098723e+00 -3.30518147e-06 1.23836478e-12)	3.99982971e+02
21000           	1.01325000e+05	(1.06096015e+00 -4.99328825e-07 1.26333864e-12)	3.99982971e+02
21100           	1.01325000e+05	(1.06098200e+00 3.68011196e-06 1.26364028e-12)	3.99982971e+02
21200           	1.01325000e+05	(1.06098733e+00 -3.26041090e-06 1.24843559e-12)	3.99982971e+02
21300           	1.01325000e+05	(1.06096486e+00 9.02103460e-07 1.24640169e-12)	3.99982971e+02
21400           	1.01325000e+05	(1.06098385e+00 3.46575979e-07 1.24456152e-12)	3.99982971e+02
21500           	1.01325000e+05	(1.06097496e+00 -3.05160888e-07 1.24778095e-12)	3.99982971e+02
21600           	1.01325000e+05	(1.06097802e+00 2.47592458e-07 1.25320496e-12)	3.99982971e+02
21700           	1.01325000e+05	(1.06097762e+00 -7.93750624e-08 1.25050212e-12)	3.99982971e+02
21800           	1.01325000e+05	(1.06097733e+00 -9.02843114e-08 1.24300130e-12)	3.99982971e+02
21900           	1.01325000e+05	(1.06097686e+00 -4.40158813e-08 1.26989464e-12)	3.99982971e+02
22000           	1.01325000e+05	(1.06097693e+00 2.56719107e-08 1.25018276e-12)	3.99982971e+02
22100           	1.01325000e+05	(1.06097705e+00 5.49950668e-08 1.25355061e-12)	3.99982971e+02
22200           	1.01325000e+05	(1.06097732e+00 7.05086030e-08 1.24867280e-12)	3.99982971e+02
22300           	1.01325000e+05	(1.06097763e+00 -1.63187241e-08 1.26110368e-12)	3.99982971e+02
22400           	1.01325000e+05	(1.06097727e+00 -1.08414756e-07 1.23901235e-12)	3.99982971e+02
22500           	1.01325000e+05	(1.06097678e+00 -5.19814069e-08 1.24256801e-12)	3.99982971e+02
22600           	1.01325000e+05	(1.06097676e+00 4.65085184e-08 1.25001045e-12)	3.99982971e+02
22700           	1.01325000e+05	(1.06097717e+00 1.01219132e-07 1.23459776e-12)	3.99982971e+02
22800           	1.01325000e+05	(1.06097764e+00 4.55249058e-08 1.23522449e-12)	3.99982971e+02
22900           	1.01325000e+05	(1.06097770e+00 -8.26161672e-08 1.23772384e-12)	3.99982971e+02
23000           	1.01325000e+05	(1.06097706e+00 -1.43387934e-07 1.26292567e-12)	3.99982971e+02
23100           	1.01325000e+05	(1.06097641e+00 3.58978318e-09 1.25781515e-12)	3.99982971e+02
23200           	1.01325000e+05	(1.06097689e+00 2.11522594e-07 1.24786927e-12)	3.99982971e+02
23300           	1.01325000e+05	(1.06097814e+00 1.42097586e-07 1.24925908e-12)	3.99982971e+02
23400           	1.01325000e+05	(1.06097831e+00 -1.51521294e-07 1.24154426e-12)	3.99982971e+02
23500           	1.01325000e+05	(1.06097713e+00 -2.64549786e-07 1.25007000e-12)	3.99982971e+02
23600           	1.01325000e+05	(1.06097604e+00 -5.65444077e-08 1.24870716e-12)	3.99982971e+02
23700           	1.01325000e+05	(1.06097642e+00 2.39266424e-07 1.25051736e-12)	3.99982971e+02
23800           	1.01325000e+05	(1.06097789e+00 2.36463548e-07 1.25248231e-12)	3.99982971e+02
23900           	1.01325000e+05	(1.06097856e+00 -6.12068133e-08 1.22940157e-12)	3.99982971e+02
24000           	1.01325000e+05	(1.06097759e+00 -3.07243755e-07 1.22909400e-12)	3.99982971e+02
24100           	1.01325000e+05	(1.06097593e+00 -1.64676164e-07 1.26018594e-12)	3.99982971e+02
24200           	1.01325000e+05	(1.06097583e+00 2.39466244e-07 1.24172045e-12)	3.99982971e+02
24300           	1.01325000e+05	(1.06097756e+00 3.70363801e-07 1.25346001e-12)	3.99982971e+02
24400           	1.01325000e+05	(1.06097898e+00 5.44582701e-08 1.23384530e-12)	3.99982971e+02
24500           	1.01325000e+05	(1.06097823e+00 -3.50486980e-07 1.23908979e-12)	3.99982971e+02
24600           	1.01325000e+05	(1.06097609e+00 -3.03589864e-07 1.25584401e-12)	3.99982971e+02
24700           	1.01325000e+05	(1.06097530e+00 1.91173408e-07 1.21693465e-12)	3.99982971e+02
24800           	1.01325000e+05	(1.06097720e+00 4.89500716e-07 1.25284802e-12)	3.99982971e+02
24900           	1.01325000e+05	(1.06097949e+00 1.62657239e-07 1.23344181e-12)	3.99982971e+02
25000           	1.01325000e+05	(1.06097900e+00 -4.40013081e-07 1.25604572e-12)	3.99982971e+02
25100           	1.01325000e+05	(1.06097610e+00 -4.87528990e-07 1.25945563e-12)	3.99982971e+02
25200           	1.01325000e+05	(1.06097462e+00 9.65182935e-08 1.26486159e-12)	3.99982971e+02
25300           	1.01325000e+05	(1.06097645e+00 5.59476706e-07 1.22986050e-12)	3.99982971e+02
25400           	1.01325000e+05	(1.06097931e+00 3.02105948e-07 1.26348761e-12)	3.99982971e+02
25500           	1.01325000e+05	(1.06097934e+00 -3.65758908e-07 1.26172790e-12)	3.99982971e+02
25600           	1.01325000e+05	(1.06097647e+00 -5.24649502e-07 1.24774937e-12)	3.99982971e+02
25700           	1.01325000e+05	(1.06097442e+00 4.02064317e-08 1.25096642e-12)	3.99982971e+02
25800           	1.01325000e+05	(1.06097598e+00 6.28102783e-07 1.25277824e-12)	3.99982971e+02
25900           	1.01325000e+05	(1.06097939e+00 4.82346252e-07 1.24743553e-12)	3.99982971e+02
26000           	1.01325000e+05	(1.06098041e+00 -2.68822992e-07 1.26946769e-12)	3.99982971e+02
26100           	1.01325000e+05	(1.06097773e+00 -7.02825760e-07 1.24213433e-12)	3.99982971e+02
26200           	1.01325000e+05	(1.06097464e+00 -2.75598675e-07 1.23676415e-12)	3.99982971e+02
26300           	1.01325000e+05	(1.06097534e+00 4.37782375e-07 1.25766335e-12)	3.99982971e+02
26400           	1.01325000e+05	(1.06097849e+00 3.41642009e-07 1.26020656e-12)	3.99982971e+02
26500           	1.01325000e+05	(1.06097885e+00 -3.02497935e-07 1.23505976e-12)	3.99982971e+02
